time	data	mean	q025	med	q975
95	3.5550000122135394e-06	2.7153637074492527e-09	8.85677755000131e-11	1.8675075766100594e-09	9.84816721562735e-09
96	3.1300000288683665e-06	2.2605698579592313e-09	7.530024744368745e-11	1.604272386862198e-09	8.269094575330359e-09
97	3.3699999711316335e-06	1.8947366580691285e-09	6.387944696379655e-11	1.365027339901702e-09	6.978321335890519e-09
98	3.5550000122135394e-06	1.598363587428442e-09	5.446235009414596e-11	1.169103802948747e-09	5.914707788636707e-09
99	3.258666672292297e-06	1.3566394310072518e-09	4.6893177082751663e-11	9.731426750660175e-10	5.071087498653e-09
100	3.1103333430301434e-06	1.1583171098143988e-09	4.166420744443347e-11	8.008431550885048e-10	4.425621894658384e-09
101	2.647000054849897e-06	9.944303588684709e-10	3.69767264825811e-11	7.026259801222711e-10	3.8821281579122985e-09
102	2.776999972686084e-06	8.581483693593429e-10	3.2334257480988674e-11	6.070463078531654e-10	3.4222015989350882e-09
103	2.9253333019482375e-06	7.439625504637095e-10	2.788834236956756e-11	5.21998415465836e-10	3.0266556409735618e-09
104	3.092000042636357e-06	6.478705201866422e-10	2.4461827814967562e-11	4.342319561280169e-10	2.6867814574332495e-09
105	3.1289999620269946e-06	5.665353462093091e-10	2.2658701606387937e-11	3.7432443290218437e-10	2.3954322670325064e-09
106	3.86900001532244e-06	4.972353175556452e-10	2.0816985792519745e-11	3.317687175857075e-10	2.1411855318584514e-09
107	3.8506667149286535e-06	4.3784632084545535e-10	1.8325539708237323e-11	2.907373961080589e-10	1.9022800936224083e-09
108	3.7023333856665006e-06	3.8693417886643984e-10	1.5440243358785447e-11	2.5180075768680293e-10	1.6876220840516084e-09
109	3.5356666449783807e-06	3.4318679172483386e-10	1.2881271796189141e-11	2.1493513962665208e-10	1.5018934244858563e-09
110	3.072333356798134e-06	3.0523779432666653e-10	1.0971030718783788e-11	1.8765695909210652e-10	1.3404882454655051e-09
111	3.2566666496417326e-06	2.721655208826931e-10	9.594276810811682e-12	1.635734628876728e-10	1.2076310193302344e-09
112	2.608333320379579e-06	2.4333982284338976e-10	9.630360562510791e-12	1.4313224440554083e-10	1.1054681675144118e-09
113	2.886666678510099e-06	2.1825385702552676e-10	8.495151631446477e-12	1.2196846216209333e-10	1.01424880893232e-09
114	3.404999978903886e-06	1.9639902837281412e-10	7.38162226285935e-12	1.0456646189405343e-10	9.329640578815873e-10
115	3.1266666207733658e-06	1.772484039820668e-10	6.731396940665821e-12	9.183478898421747e-11	8.596354085764203e-10
116	2.941666690723639e-06	1.604015051109901e-10	5.920250072245493e-12	8.160292577302738e-11	7.927362921697596e-10
117	3.571666719592006e-06	1.4555035284296265e-10	4.933420099438545e-12	7.241595823834594e-11	7.320805534937163e-10
118	3.959999991117426e-06	1.3244766892188464e-10	3.9791301175596185e-12	6.45302187909556e-11	6.75449219490361e-10
