time	data	mean	q025	med	q975
89	1.4165000062781173e-05	6.925477960798115e-06	4.245635075750164e-06	6.8706614998127615e-06	9.594283037161903e-06
90	1.389833338261318e-05	6.0662107947968035e-06	3.5557361031310223e-06	6.015687293935529e-06	8.557482433539877e-06
91	1.1298333301605214e-05	5.310166947472976e-06	2.965759556275218e-06	5.241199343768178e-06	7.629852508716494e-06
92	9.913333425142361e-06	4.646603826288087e-06	2.463907032669924e-06	4.56184101300092e-06	6.801372024113686e-06
93	9.779999983798407e-06	4.06555692710482e-06	2.03933334630332e-06	3.982477975526092e-06	6.06260963808645e-06
94	9.863333283378421e-06	3.5578534128158687e-06	1.682139126210735e-06	3.4901803767668202e-06	5.404789769927364e-06
95	1.1048333402865171e-05	3.11510076542514e-06	1.383365050168212e-06	3.0608094167051908e-06	4.81976829887694e-06
96	8.883333340083996e-06	2.7296653301075174e-06	1.1349496954653115e-06	2.6861955828806695e-06	4.3000488418108815e-06
97	9.118333398814773e-06	2.3946475938059786e-06	9.29703106367881e-07	2.355485049457907e-06	3.83875586194132e-06
98	8.983333421091963e-06	2.103836479107617e-06	7.612382975966332e-07	2.071537374946824e-06	3.4296188812652953e-06
99	7.908333410965968e-06	1.8516778646562885e-06	6.239378591606472e-07	1.8243086646831822e-06	3.066942625986013e-06
100	6.5166665789080374e-06	1.6332185143503618e-06	5.128723037821288e-07	1.6058099632477052e-06	2.7455755956523887e-06
101	4.691666670041998e-06	1.4440694376502863e-06	4.237608798037603e-07	1.4166521311451815e-06	2.460875324212589e-06
102	4.759999927092831e-06	1.2803504444043825e-06	3.5289535000533695e-07	1.2514792960933639e-06	2.208673375028009e-06
103	3.511666767251558e-06	1.1386500261101714e-06	2.9709166007550246e-07	1.1094371394080565e-06	1.9852371772330087e-06
104	3.005000014176394e-06	1.0159763494441275e-06	2.5362974332283316e-07	9.90789132550686e-07	1.7872364102628764e-06
105	2.5333333603359886e-06	9.097168421131047e-07	2.2019902762815489e-07	8.900844415864064e-07	1.6117047100733182e-06
