# camdl survey landscape; run_hash=aaa9fba3b601ba88e5ca4041c3224122b985842b1ebcbdab55e715c4a0cdebf2; version=0.1.0+578d682
# eval=simulate; n_points=400
beta	z_lat	d_inf	delta	e0	loglik	loglik_se	n_replicates	point_id	loglik_type
0.10366017370013987	10.536535780123849	10.472131749708634	0.3110313799096297	4.15991828705464	-19.04293535236584	0	1	284	marginal
0.13754876305039312	6.867440825452343	9.252369205206895	0.37494152510065615	1.4988595681783927	-19.04989643055957	0	1	259	marginal
0.13721687046950812	10.384336489128298	13.00649747997904	0.34587932613346195	0.7972361500100288	-19.052851889276614	0	1	206	marginal
0.22904862174662954	6.554246973801025	11.10077164311902	0.3763839872049387	0.5343887216072458	-19.062847487942694	0	1	73	marginal
0.15614751117819015	9.956506613320608	9.603041421496004	0.3789750463445335	0.6865876488731435	-19.079992086830636	0	1	189	marginal
0.117307277002098	6.816173521173006	10.49355294897415	0.3612211186812466	3.1761034261366867	-19.090867990171915	0	1	219	marginal
0.1860705984449598	9.729694847468025	7.0554741297819215	0.39973874546917854	0.6122393153696386	-19.107875625777325	0	1	394	marginal
0.12787950083708055	9.112167064040836	12.60387177090205	0.4849571010218822	0.5681326135038124	-19.110857942782726	0	1	279	marginal
0.17382249981868392	9.087666043736412	7.4114335846249055	0.38843718589524034	0.8283160249744003	-19.122441275763343	0	1	322	marginal
0.12941004354388808	8.710675169722457	11.697181613841208	0.3652588540946554	0.9506658160117768	-19.13206243645821	0	1	120	marginal
0.10062981841624084	11.709790104948162	10.206352399291804	0.4675382176735831	2.174477005817423	-19.19033493556801	0	1	317	marginal
0.2973647857932318	7.625666187083633	7.9837320703086405	0.4467596037915439	0.8434721588479468	-19.196144060166166	0	1	216	marginal
0.1755448749734963	7.971664082437363	12.810481947862602	0.40107469595093875	1.6282221325738584	-19.203378267128635	0	1	194	marginal
0.16279486151294875	11.488730392779775	9.849207095917585	0.33404229652420425	1.0102487975206405	-19.20593182355826	0	1	182	marginal
0.1317189456191253	10.071662453908662	12.496540151678268	0.4681546713792461	0.5554975334848516	-19.233994892989553	0	1	60	marginal
0.10313833495367826	11.888027208037096	7.097258730214868	0.3526907930804764	2.6984779636274636	-19.241806598349783	0	1	337	marginal
0.16705192973684382	11.626006595645388	9.359384360267812	0.4281084913518153	0.9592376448737658	-19.252845663448973	0	1	23	marginal
0.12475888630248506	6.283906092198176	9.74366662603189	0.3444796151566309	0.5426386977035471	-19.261289994460977	0	1	285	marginal
0.11679963811073697	9.171700029631582	7.417517209326043	0.3453410907341914	2.3898739201418335	-19.283875612406465	0	1	254	marginal
0.11855248623183333	6.662781491669699	10.780537043827122	0.338843957903793	0.5246455509957247	-19.29234497820939	0	1	292	marginal
0.235847143051884	10.746556066527688	10.992152158523863	0.32769635861851376	2.317449540153075	-19.310702886216166	0	1	334	marginal
0.15970466443501222	6.034447448531687	11.412132194307407	0.3677385247978193	2.353043675280648	-19.315280031961805	0	1	377	marginal
0.10591862624295233	10.475054323717913	7.047288049069338	0.4595137577315165	4.011262303938038	-19.327856399353212	0	1	316	marginal
0.14230938642388763	8.934737915670345	9.38056485202335	0.44884867669763995	1.1978497392929923	-19.328256998386028	0	1	69	marginal
0.14437138792606985	8.906065265557437	9.12349723261707	0.49645853404743534	0.5579926238876615	-19.333842510930232	0	1	199	marginal
0.111044450323384	6.162443408250244	8.011367458158155	0.4362636722306028	2.948980520461756	-19.34923934300318	0	1	114	marginal
0.18002011085958816	8.249748568908034	7.557368923428638	0.4451419327988255	2.649434832817698	-19.357371713148492	0	1	221	marginal
0.19775205204775778	8.032608966899756	10.463429198885517	0.45145206247972586	2.2383524476737278	-19.357911302313266	0	1	92	marginal
0.1793282323078848	7.95143024705917	7.277641893357199	0.31253779988199426	3.2636149301509803	-19.362228038325757	0	1	237	marginal
0.10503947707061641	8.106636345636229	8.141340757492829	0.4603630704095498	1.5444477015726237	-19.384551896856983	0	1	324	marginal
0.12235565285091639	6.5249440630129465	9.817558642738154	0.3582542805806087	0.6092872584964923	-19.39532229501898	0	1	236	marginal
0.3411718295337307	8.78090386887914	7.507806902033705	0.40993189348373116	0.6844175248351742	-19.3988040474722	0	1	130	marginal
0.1625443580141993	11.065667143660104	8.269867995743834	0.40736791859078914	3.513718863764935	-19.410824940738724	0	1	325	marginal
0.21223278318565902	10.403765794819932	7.956044625262138	0.49984361398605703	3.1515152888348408	-19.448111544283258	0	1	144	marginal
0.33485659330828893	10.080941373460178	9.484326752880758	0.39310031580090393	0.5319658785896999	-19.45850538538582	0	1	33	marginal
0.1248195976188674	6.7231352560285655	9.199556386929546	0.33566634678048646	1.123704405097149	-19.55790948483269	0	1	68	marginal
0.1491340781642941	8.372469864637361	7.722049976778103	0.39360984778192726	0.5275554741751045	-19.594682018418148	0	1	126	marginal
