comparator,model,noise,regime,treatment,rep,n_true_pairs,n_scored,avg_precision,best_f1,best_f1_precision,best_f1_recall
lev_abs,full,elevated,split,abbreviate,1,10056,27435,0.9892799563442047,0.974025974025974,0.9785226816539543,0.9695704057279236
lev_abs,full,elevated,split,abbreviate,2,10046,27541,0.9892927727424697,0.9739869934967483,0.9789823008849557,0.9690424049372884
lev_abs,full,elevated,split,expand,0,10070,27570,0.9889939874836856,0.9735502545164187,0.9785313001605136,0.9686196623634558
lev_abs,full,elevated,split,expand,1,10056,27465,0.9891611326083419,0.9739643196242066,0.9789050728277248,0.9690731901352426
lev_abs,full,elevated,split,expand,2,10046,27529,0.9888456520773679,0.9736435653430323,0.9746633416458853,0.9726259207644834
lev_abs,address_heavy,elevated,split,none,0,10070,26755,0.9161679017314248,0.8838983050847458,0.947105561861521,0.8285998013902681
lev_abs,address_heavy,elevated,split,none,1,10056,26746,0.9224450469219986,0.8900231530204167,0.945127402771569,0.8409904534606205
lev_abs,address_heavy,elevated,split,none,2,10046,26664,0.910407982229657,0.8705491205491206,0.9436177633108579,0.8079832769261398
lev_abs,address_heavy,elevated,split,abbreviate,0,10070,26961,0.9483419352304322,0.9072590553890009,0.8981220200447602,0.916583912611718
lev_abs,address_heavy,elevated,split,abbreviate,1,10056,26787,0.9490590739477625,0.912526518328482,0.9055125820033291,0.9196499602227526
lev_abs,address_heavy,elevated,split,abbreviate,2,10046,26945,0.9475656632853524,0.9062392448006293,0.8953657825706791,0.9173800517618953
lev_abs,address_heavy,elevated,split,expand,0,10070,26953,0.9468742914161041,0.9065801759300212,0.8973635567662224,0.9159880834160874
lev_abs,address_heavy,elevated,split,expand,1,10056,26766,0.9469176497930729,0.9101068037974682,0.9050944138473643,0.9151750198886237
lev_abs,address_heavy,elevated,split,expand,2,10046,26885,0.9442244842181062,0.9034421540585857,0.8952306489444879,0.911805693808481
jw_tf,full,severe,split,none,0,10070,27597,0.99024759624366,0.9769881724154996,0.9737594949196015,0.9802383316782523
jw_tf,full,severe,split,none,1,10056,27507,0.9907849727645683,0.9767395823022864,0.9722167487684729,0.9813046937151949
jw_tf,full,severe,split,none,2,10046,27569,0.9906175262777813,0.9766820139610871,0.9715355067467744,0.9818833366514036
jw_tf,full,severe,split,abbreviate,0,10070,27607,0.9896262306437936,0.9743182156872485,0.9747540005963622,0.9738828202581926
jw_tf,full,severe,split,abbreviate,1,10056,27522,0.9903298636549401,0.9751580624284363,0.9763732429468647,0.9739459029435164
jw_tf,full,severe,split,abbreviate,2,10046,27535,0.9902047297288202,0.9755927127526829,0.9783762138352188,0.9728250049771053
