comparator,model,noise,regime,treatment,rep,level,m,u
lev_abs,address_heavy,elevated,split,none,1,Exact match on street_name,0.12747237512363938,5.215508477442315e-05
lev_abs,address_heavy,elevated,split,none,1,Levenshtein distance of street_name <= 1,0.01924811039038503,3.1170812384713836e-05
lev_abs,address_heavy,elevated,split,none,1,Levenshtein distance of street_name <= 2,0.1574106668938411,0.00010594001594804702
lev_abs,address_heavy,elevated,split,none,1,All other comparisons,0.6958688475921345,0.9998107340868928
lev_abs,address_heavy,elevated,split,none,2,Exact match on street_name,0.13018594704350822,4.757665917935e-05
lev_abs,address_heavy,elevated,split,none,2,Levenshtein distance of street_name <= 1,0.017537928222338753,1.35933311941e-05
lev_abs,address_heavy,elevated,split,none,2,Levenshtein distance of street_name <= 2,0.15849693858001013,7.476332156755e-05
lev_abs,address_heavy,elevated,split,none,2,All other comparisons,0.6937791861541429,0.999864066688059
lev_abs,address_heavy,elevated,split,abbreviate,0,Exact match on street_name,0.8597754665695492,0.001136684910341319
lev_abs,address_heavy,elevated,split,abbreviate,0,Levenshtein distance of street_name <= 1,0.06348202848885165,0.00012503319180091622
lev_abs,address_heavy,elevated,split,abbreviate,0,Levenshtein distance of street_name <= 2,0.0364849565452451,0.00028443976966394
lev_abs,address_heavy,elevated,split,abbreviate,0,All other comparisons,0.040257548396354106,0.9984538421281938
lev_abs,address_heavy,elevated,split,abbreviate,1,Exact match on street_name,0.8582884053405994,0.001275292314650467
lev_abs,address_heavy,elevated,split,abbreviate,1,Levenshtein distance of street_name <= 1,0.06594119285191372,0.00015089569406325092
lev_abs,address_heavy,elevated,split,abbreviate,1,Levenshtein distance of street_name <= 2,0.037111213418835276,0.000328025275638846
lev_abs,address_heavy,elevated,split,abbreviate,1,All other comparisons,0.03865918838865155,0.9982457867156475
lev_abs,address_heavy,elevated,split,abbreviate,2,Exact match on street_name,0.8610322458880919,0.0012509136001182548
lev_abs,address_heavy,elevated,split,abbreviate,2,Levenshtein distance of street_name <= 1,0.06401578186596604,0.00013324190488704207
lev_abs,address_heavy,elevated,split,abbreviate,2,Levenshtein distance of street_name <= 2,0.036872721429987515,0.00032622709840602444
lev_abs,address_heavy,elevated,split,abbreviate,2,All other comparisons,0.038079250815954646,0.9982896173965887
lev_abs,address_heavy,elevated,split,expand,0,Exact match on street_name,0.85977737790894,0.0012989620136337867
lev_abs,address_heavy,elevated,split,expand,0,Levenshtein distance of street_name <= 1,0.06231809207359028,0.0001722724053900606
