scenario,noise_type,sigma,variable,realization,cp_time,delay,is_delay,tau_var_bp,tau_ac_bp,tau_var_cp,tau_ac_cp
MN low,multiplicative,0.05,I,155,90.405,75.90874815310283,True,-0.20810071154898738,-0.0523671497584541,0.4146545774731681,-0.6368577615953926
MN low,multiplicative,0.05,I,156,79.58500000000001,65.08874815310284,True,-0.672742676280907,-0.5555764974655528,0.6541919516432259,-0.02313224340210847
MN low,multiplicative,0.05,I,157,103.60000000000001,89.10374815310284,True,-0.6935741652983031,-0.33907522429261555,0.9314514171485684,0.51935841603008
MN low,multiplicative,0.05,I,158,92.555,78.05874815310284,True,0.357239475500345,0.4272825492015896,0.903750981652031,-0.21231955450846002
MN low,multiplicative,0.05,I,159,84.565,70.06874815310283,True,-0.9202931867399632,-0.7170119702053733,0.9792256252825967,-0.03865210252016848
MN low,multiplicative,0.05,I,160,84.72,70.22374815310283,True,-0.8983955641227004,-0.6191618476476046,0.9517479355560313,0.14674091525665736
MN low,multiplicative,0.05,I,161,72.61,58.11374815310283,True,-0.7843230765569594,-0.523303110349587,0.9843735275219532,-0.5987168320601604
MN low,multiplicative,0.05,I,162,93.98,79.48374815310284,True,-0.5199162323600104,-0.1453301920468337,0.7293543704338306,-0.5648061683443991
MN low,multiplicative,0.05,I,163,68.84,54.34374815310284,True,-0.4146260203231717,-0.5003336427024582,0.847375359939078,-0.5640655862544917
MN low,multiplicative,0.05,I,164,90.97,76.47374815310283,True,-0.8273567977915803,-0.18636300897170457,0.8107708050736535,0.4888765141238903
MN low,multiplicative,0.05,I,165,91.855,77.35874815310284,True,-0.5512815021060897,-0.36616263296922963,0.8711825039861021,0.3376340401227957
MN low,multiplicative,0.05,I,166,80.49,65.99374815310283,True,0.030378144261202725,0.35114537969110676,0.9892396658813449,0.1571204873753599
MN low,multiplicative,0.05,I,167,75.675,61.17874815310283,True,-0.6618624021322671,-0.25886580519264174,0.7704557245186929,0.08540206087432473
MN low,multiplicative,0.05,I,168,76.58500000000001,62.08874815310284,True,0.6579957640227505,0.6908974084386377,0.7501344565812331,-0.4570486185478688
MN low,multiplicative,0.05,I,169,116.18,101.68374815310284,True,0.6983089407677113,0.7847095499869112,0.9850684181718663,0.5194612217700673
MN low,multiplicative,0.05,I,170,115.605,101.10874815310284,True,-0.6260346017467455,-0.36408938387948875,0.9593460412650816,0.160143737654982
MN low,multiplicative,0.05,I,171,81.755,67.25874815310283,True,0.35995430856000565,0.5556279003355464,0.9410104471573736,0.2913771685585778
MN low,multiplicative,0.05,I,172,88.06,73.56374815310284,True,-0.06668189714666475,0.2143414007282073,0.8789214916351346,0.08722591085409674
MN low,multiplicative,0.05,I,173,97.47,82.97374815310283,True,-0.05408057875823991,0.052905927988386746,0.8754184812355725,0.18823445420147067
MN low,multiplicative,0.05,I,174,33.08,18.583748153102835,True,-0.9065076985316863,-0.7234430403845694,0.4942090859332238,0.23360034268579993
