chain	draw	a0	beta	d_home	h0	i0	d_school
0	3315	2.29	1.418	2.7742	1.4313	3.1949	1.0
0	3320	1.7446	1.8327	2.9126	4.2644	8.9852	1.0
0	3325	1.7446	0.9557	3.2582	11.2241	3.3041	1.0
0	3330	1.8207	0.6244	2.9261	8.7295	7.9538	1.0
0	3335	1.5569	1.6702	2.6379	3.0533	5.5134	1.0
0	3340	2.4114	1.3108	3.3731	11.4421	6.9931	1.0
0	3345	0.8651	2.1259	3.6599	10.142	5.0765	1.0
0	3350	1.0437	1.7781	3.1988	9.5638	4.8802	1.0
0	3355	3.2054	2.0518	2.6205	3.4909	6.7238	1.0
0	3360	3.6364	0.215	1.6684	5.7475	2.5335	1.0
0	3365	5.7264	0.3175	4.008	0.2295	11.0545	1.0
0	3370	1.7061	0.5196	4.9546	5.0502	6.7752	1.0
0	3375	1.0302	0.5261	5.0177	6.4623	2.2406	1.0
0	3380	1.0302	1.4271	3.8853	6.4623	0.623	1.0
0	3385	1.4258	1.0557	3.7449	4.1397	2.1247	1.0
0	3390	1.2835	0.6266	4.5537	1.6307	8.8209	1.0
0	3395	1.592	1.143	3.8643	0.574	5.5413	1.0
0	3400	0.7751	0.5452	4.123	0.7084	5.5413	1.0
0	3405	1.6896	0.918	2.9067	0.3832	10.2148	1.0
0	3410	1.0985	1.882	4.0188	3.1875	4.8233	1.0
0	3415	1.1289	3.4612	2.2149	6.0347	6.7445	1.0
0	3420	3.3387	3.4702	1.8919	2.7474	3.9443	1.0
0	3425	3.3516	2.3881	2.9706	7.7577	3.2346	1.0
0	3430	1.445	2.4195	2.7769	9.6937	11.1836	1.0
0	3435	0.7292	4.1313	3.2588	8.9664	5.6295	1.0
0	3440	1.5167	5.0426	2.9585	6.2265	1.1784	1.0
0	3445	1.8365	4.9394	2.3279	3.3418	7.04	1.0
0	3450	1.5006	6.2501	2.5909	2.2188	10.5323	1.0
0	3455	1.6618	8.3223	3.3238	2.2325	10.5323	1.0
0	3460	0.8642	7.5128	2.8244	0.3148	10.5323	1.0
0	3465	2.5943	4.9622	3.666	10.6961	10.5323	1.0
