decyear	cases	city
1954.517453798768	467.0	liverpool
1954.5557837097879	552.0	liverpool
1954.5941136208078	477.0	liverpool
1954.6324435318274	358.0	liverpool
1954.6707734428473	272.0	liverpool
1954.7091033538672	345.0	liverpool
1954.7474332648871	331.0	liverpool
1954.7857631759068	428.0	liverpool
1954.8240930869267	471.0	liverpool
1954.8624229979466	581.0	liverpool
1954.9007529089665	589.0	liverpool
1954.9390828199862	612.0	liverpool
1954.977412731006	446.0	liverpool
1955.015742642026	484.0	liverpool
1955.054072553046	371.0	liverpool
1955.0924024640658	383.0	liverpool
1955.1307323750855	523.0	liverpool
1955.1690622861054	502.0	liverpool
1955.2073921971253	366.0	liverpool
1955.2457221081452	384.0	liverpool
1955.2840520191648	397.0	liverpool
1955.3223819301847	417.0	liverpool
1955.3607118412046	398.0	liverpool
1955.3990417522245	291.0	liverpool
1955.4373716632444	291.0	liverpool
1955.4757015742641	280.0	liverpool
1955.514031485284	249.0	liverpool
1955.552361396304	154.0	liverpool
1955.5906913073238	103.0	liverpool
1955.6290212183435	66.0	liverpool
1955.6673511293634	41.0	liverpool
1955.7056810403833	41.0	liverpool
1955.7440109514032	40.0	liverpool
1955.782340862423	27.0	liverpool
1955.8206707734428	29.0	liverpool
1955.8590006844627	141.0	liverpool
1955.8973305954826	35.0	liverpool
1955.9356605065025	42.0	liverpool
1955.9739904175221	31.0	liverpool
1956.012320328542	19.0	liverpool
1956.050650239562	37.0	liverpool
1956.0889801505818	66.0	liverpool
1956.1273100616017	93.0	liverpool
1956.1656399726214	66.0	liverpool
1956.2039698836413	55.0	liverpool
1956.2422997946612	48.0	liverpool
1956.2806297056811	108.0	liverpool
1956.3189596167008	176.0	liverpool
1956.3572895277207	239.0	liverpool
1956.3956194387406	394.0	liverpool
1956.4339493497605	414.0	liverpool
1956.4722792607804	467.0	liverpool
1956.5106091718	468.0	liverpool
1956.54893908282	532.0	liverpool
1956.5872689938399	381.0	liverpool
1956.6255989048598	285.0	liverpool
1956.6639288158794	202.0	liverpool
