pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock,e_direct,v,e_shrunk,post_sd,direct_se,shrink_weight_own,window
baseline_2019_24,WV,74.0,69.0,,,,0.5527198154253655,31165.572000000004,0.2573712160375293,0.0077563709124903865,0.10704487591299533,0.04844177146623486,0.088070261226423,0.30253906746621617,baseline_2019_24
baseline_2019_24,MT,105.0,97.0,,,,0.5016225624696219,21375.97,0.20053959921765654,0.005579389329886526,0.10153781032880822,0.04581316240275273,0.07469530995910337,0.37617841760895415,baseline_2019_24
baseline_2019_24,ND,159.0,141.0,,,,0.4724486115540213,32455.496000000003,0.16809161613345397,0.0038266892943045355,0.1009072575811008,0.042312764799470284,0.0618602400116952,0.4678639751703892,baseline_2019_24
baseline_2019_24,KY,156.0,138.0,,,,0.4709183517404584,255433.58600000004,0.16638962367146032,0.0039085186929738456,0.09945531646534535,0.042521532410399465,0.06251814690930822,0.4625999926209771,baseline_2019_24
baseline_2019_24,RI,314.0,297.0,,,,0.4369581702229973,148810.134,0.12861827763050399,0.001793275612499772,0.09844598293646153,0.034202078406669584,0.04234708505316242,0.6523158845088697,baseline_2019_24
baseline_2019_24,WY,94.0,91.0,,,,0.47392055467031086,14498.011999999999,0.16972874733575308,0.0059311437931493325,0.08812691493710127,0.04633291593372144,0.07701391947660717,0.3619435262049882,baseline_2019_24
baseline_2019_24,OH,288.0,270.0,,,,0.41840179493360014,608231.4280000001,0.10797942232988385,0.0019510832430983693,0.08370203922265233,0.03514168917775544,0.0441710679415652,0.6329500920241931,baseline_2019_24
baseline_2019_24,IN,212.0,198.0,,,,0.42317428087443915,385483.88,0.11328749813785163,0.0026688345879052515,0.08168170977552294,0.038578230575480835,0.05166076449207127,0.5576515985964887,baseline_2019_24
baseline_2019_24,TX,2657.0,2545.0,,,,0.3965806896831081,5144036.391999999,0.08370945436788446,0.00020355695601011547,0.0813206660344928,0.013854387806604456,0.014267338785145444,0.9429501465243557,baseline_2019_24
baseline_2019_24,AK,201.0,188.0,,,,0.4233052849475652,45586.058000000005,0.11343320407809446,0.002811025462524735,0.08084368278392776,0.03913412338079236,0.05301910469373031,0.544811718428041,baseline_2019_24
baseline_2019_24,VA,672.0,643.0,,,,0.3961100030580396,1198578.1879999998,0.08318594516982052,0.0008053518106972347,0.07520003509082138,0.0254913442631019,0.028378721089880612,0.8068630674306242,baseline_2019_24
baseline_2019_24,SD,85.0,79.0,,,,0.44391714868829035,28750.164,0.13635822400178585,0.006764524904257374,0.07323389331924876,0.04740181467682966,0.08224673187584644,0.33216405681977124,baseline_2019_24
baseline_2019_24,NE,237.0,215.0,,,,0.3960829964385487,161158.678,0.08315590774585496,0.0024085072786944233,0.06591780111815984,0.03746563647261531,0.04907654509737236,0.5827982870199382,baseline_2019_24
baseline_2019_24,AR,239.0,227.0,,,,0.39070623766259377,152393.33000000002,0.07717574488362398,0.0022702526240910414,0.06293789451566373,0.036817971271954894,0.047647168059508443,0.5970978710465022,baseline_2019_24
baseline_2019_24,NH,211.0,206.0,,,,0.37132415616783254,91127.156,0.05561851890836732,0.002453215626868563,0.04980733668976684,0.037666199451167906,0.04952994676827912,0.5783195596655042,baseline_2019_24
baseline_2019_24,TN,236.0,211.0,,,,0.3709431845669023,381765.18600000005,0.05519479295851881,0.0023940751536977506,0.04964162107504342,0.03739999604777816,0.04892928727968302,0.5842588952203019,baseline_2019_24
baseline_2019_24,KS,198.0,192.0,,,,0.3681886419538342,186661.90600000002,0.05213112316719985,0.002622886839069112,0.04762181073105795,0.038391165740641456,0.05121412733874426,0.5619310696028721,baseline_2019_24
baseline_2019_24,SC,244.0,226.0,,,,0.36366395065005974,295169.47400000005,0.047098650626512764,0.0022166713451370534,0.04500908432510203,0.036555115916663376,0.04708153932420916,0.6028302312890124,baseline_2019_24
baseline_2019_24,NV,596.0,585.0,,,,0.35683474565005907,519617.518,0.039503041483286386,0.0008492915652432655,0.039973554835477224,0.026040667251159097,0.029142607385806533,0.7984494120006417,baseline_2019_24
baseline_2019_24,MO,136.0,131.0,,,,0.3551502080212898,249413.29200000004,0.037629457454810555,0.003784620247174304,0.03985712801491309,0.042203164576744556,0.061519267284114366,0.47061712509243364,baseline_2019_24
baseline_2019_24,MS,109.0,100.0,,,,0.3440044316286627,63604.442,0.025232851835827498,0.004885262554824575,0.03506563671662479,0.04463580611053596,0.06989465326349774,0.40782970511375166,baseline_2019_24
baseline_2019_24,MN,256.0,242.0,,,,0.3445336250244427,478390.7800000001,0.025821433697921434,0.002020177974715423,0.03183021290355482,0.03552835845760924,0.04494639000760153,0.624828243100802,baseline_2019_24
baseline_2019_24,ME,82.0,80.0,,,,0.33356180484807657,51243.416000000005,0.0136183064452714,0.006015464584655123,0.03171556765283781,0.046450899724476295,0.07755942614959914,0.3586898492790405,baseline_2019_24
baseline_2019_24,IA,192.0,176.0,,,,0.3394024436171151,201770.428,0.020114408002683572,0.002757796566138385,0.029899612401449876,0.03892997376983386,0.05251472713571294,0.5495484606546223,baseline_2019_24
baseline_2019_24,AL,169.0,155.0,,,,0.33784174282279555,156765.25400000002,0.01837855833596938,0.003124398181833377,0.029674025657186288,0.04024925830671669,0.05589631635298856,0.5185007479713085,baseline_2019_24
baseline_2019_24,WA,642.0,602.0,,,,0.34526582012654283,1083200.7859999998,0.02663579903212021,0.000812914885367767,0.029594017381278807,0.02558756517236359,0.028511662269460315,0.805402266872938,baseline_2019_24
baseline_2019_24,LA,289.0,261.0,,,,0.3416021623692391,224798.98799999998,0.02256098910050657,0.0018654837328327485,0.02943673808249241,0.03464222368707938,0.04319124602084025,0.6433096364573007,baseline_2019_24
baseline_2019_24,NM,429.0,422.0,,,,0.3389400544229214,200083.47000000003,0.01960012741055811,0.0011494081019602005,0.025262591777803,0.029269883083993697,0.03390292173191273,0.7453628126420893,baseline_2019_24
baseline_2019_24,AZ,611.0,592.0,,,,0.33941052955608625,1112691.27,0.020123401382144426,0.0008198949626803545,0.024378090659980665,0.025675741954684313,0.028633808036661042,0.8040587574393356,baseline_2019_24
baseline_2019_24,FL,2509.0,2393.0,,,,0.34207519874987236,4862310.893999999,0.023087111754287806,0.00020360015952512175,0.02415703326707531,0.013855774090649937,0.014268852775367814,0.9429387290211716,baseline_2019_24
baseline_2019_24,MA,1041.0,987.0,,,,0.33853795591924973,1266310.804,0.01915290360178887,0.0004911544805132194,0.02204259571482283,0.020702378416044498,0.022162005336007377,0.8726143995128832,baseline_2019_24
baseline_2019_24,CO,318.0,309.0,,,,0.3293763388130518,591043.808,0.008963128560833224,0.001547518171476244,0.019320120469769855,0.03255727904534482,0.03933850748917966,0.6849524860992696,baseline_2019_24
baseline_2019_24,OK,257.0,242.0,,,,0.32622105800407597,253540.65200000006,0.005453747928372921,0.001966242260468306,0.018873892016018082,0.0352277467625303,0.0443423303454871,0.631150172547605,baseline_2019_24
baseline_2019_24,GA,642.0,603.0,,,,0.33178326563157357,1232826.1439999999,0.011640171547511619,0.0007959347746236735,0.017417242876054496,0.02537053411491012,0.028212316009567053,0.8086893823431066,baseline_2019_24
baseline_2019_24,VT,131.0,124.0,,,,0.3070498246940591,23701.257999999998,-0.015868967529206083,0.0037146007682868397,0.014411236203532816,0.042017207941852895,0.06094752471008843,0.47527200723730073,baseline_2019_24
baseline_2019_24,OR,412.0,387.0,,,,0.3207587196252894,376360.64400000003,-0.0006215986651622769,0.0012187497645786561,0.010668875166329719,0.029910985687956162,0.03491059673764767,0.7340859385801981,baseline_2019_24
baseline_2019_24,IL,928.0,894.0,,,,0.32381614235058126,1846876.122,0.0027789418087190414,0.000530211009451491,0.008096229360219094,0.02140163690252208,0.023026311242825913,0.8638637333865093,baseline_2019_24
baseline_2019_24,NJ,1123.0,1083.0,,,,0.3182501854057327,2154763.1859999998,-0.0034116518930503454,0.00043369878338314085,0.001755144976248145,0.019600425573352107,0.020825435971022092,0.8858145269850195,baseline_2019_24
baseline_2019_24,DE,230.0,223.0,,,,0.297044708873606,96145.014,-0.02699690250917301,0.0020270647836839587,-0.0011172377092331792,0.03556612857399048,0.04502293619572094,0.6240301306220323,baseline_2019_24
baseline_2019_24,PA,500.0,471.0,,,,0.30666423337527504,966716.4260000002,-0.016297831642452756,0.0009772570014667476,-0.0032125281539427744,0.02751895015160479,0.03126111004853711,0.7749165432531078,baseline_2019_24
baseline_2019_24,MI,414.0,384.0,,,,0.29311511591884815,712182.2679999999,-0.03136749208384734,0.0011680963118571499,-0.012501803948246987,0.029445980653849377,0.034177424008505236,0.742289627888927,baseline_2019_24
baseline_2019_24,NC,582.0,536.0,,,,0.2966375424872132,1016784.3359999999,-0.027449762941287644,0.0008426815303903833,-0.013571791279913516,0.025959500977070917,0.029028977425847837,0.7997038818049741,baseline_2019_24
baseline_2019_24,NY,2133.0,2051.0,,,,0.2814091409596204,4513408.414,-0.04438716427565893,0.00021344067962677794,-0.039243460133625126,0.014167143221904146,0.014609609153799356,0.9403453335179695,baseline_2019_24
baseline_2019_24,CA,5846.0,5719.0,,,,0.2833531550762456,10208626.216000002,-0.04222498413920117,7.686632469171827e-05,-0.040347363475116214,0.008668877535255966,0.008767344221126388,0.9776639903450761,baseline_2019_24
baseline_2019_24,WI,168.0,164.0,,,,0.23307691243340287,292279.046,-0.09814345317110264,0.002359555445614361,-0.04044082995425994,0.0372411740881843,0.04857525548686657,0.5877823511391737,baseline_2019_24
baseline_2019_24,HI,659.0,641.0,,,,0.2684972506718421,229186.124,-0.05874808504552527,0.000663316411997723,-0.04218324737705987,0.023538878781052423,0.02575492985814023,0.8353160034143435,baseline_2019_24
baseline_2019_24,CT,415.0,399.0,,,,0.2560597393501532,582390.35,-0.07258138990516744,0.0010335451005605268,-0.04569281320672108,0.028118690917268534,0.032148796253678405,0.7649988166670981,baseline_2019_24
