pair,stratifier,level,n,e_adj,raw_u_f,wpop
2024->2025,citizenship,noncitizen,3349,0.05191855951070595,0.39730894007010503,7989292.16
2024->2025,region_birth,africa,359,0.038219297784896716,0.4465061934004238,1057411.85
2024->2025,region_birth,asia,2030,0.03324870680582505,0.29724000009115265,4857786.029999999
2024->2025,region_birth,europe,664,0.04811937562440103,0.29124494120705235,1941107.8099999998
2024->2025,region_birth,mexico,1583,0.08320519107845695,0.36308876518683425,3161050.5199999996
2024->2025,region_birth,oceania,56,0.033370938128014845,0.29408536162041155,91609.31999999999
2024->2025,region_birth,other_americas,1836,0.053348464563832035,0.4135975310123334,4504375.68
2024->2025,region_birth,other_unknown,17,0.056817311716279455,0.2724288877360378,35390.52
2024->2025,race_eth,hispanic,2912,0.06874398587214588,0.39438171622093104,6184580.09
2024->2025,race_eth,nh_asian,1755,0.029611973152179654,0.2759028728685365,3994758.1500000004
2024->2025,race_eth,nh_black,558,0.042262569321990545,0.4059883223863087,1681912.1199999999
2024->2025,race_eth,nh_other,102,0.04737424810835814,0.43056820329955975,189328.89000000004
2024->2025,race_eth,nh_white,1218,0.05008741621897896,0.3399310637330188,3598152.4800000004
2024->2025,educ4,lt_hs,1185,0.06508237564637408,0.335342327128864,2528678.79
2024->2025,educ4,hs,1499,0.06612028284559666,0.33511290547792943,3566598.87
2024->2025,educ4,some_col,870,0.06183071528776614,0.3423115188705782,2057289.1099999999
2024->2025,educ4,ba_plus,2140,0.0370380863441495,0.3240019815258401,5366854.0600000005
2024->2025,income_q,q1_low,1637,0.05731825512645527,0.3890795036639092,4135571.92
2024->2025,income_q,q2,1639,0.0590101549549686,0.3952074920285454,3784666.84
2024->2025,income_q,q3,1633,0.05047639181752662,0.32162640495050904,3795451.31
2024->2025,income_q,q4_high,1636,0.03858604669466239,0.30592549584130263,3933041.66
2024->2025,duration,0-4 yrs,1018,0.04654767540524747,0.5195266720999201,2659499.26
2024->2025,duration,10+ yrs,4753,0.054743309113627105,0.3096235939584271,11032172.02
2024->2025,duration,5-9 yrs,774,0.038827440561618416,0.3736361286131964,1957060.45
