pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2021->2022,NC,123,110,0.0253734251019909,0.023288876194636408,0.3127106779244605,0.3222206683952654,1019712.29
2021->2022,ND,50,43,0.04678178556853963,0.02360006427555902,0.5701003937766999,0.5212897118493326,34396.97
2021->2022,OH,50,49,0.014303700451171165,0.028078389343718934,0.30288138634507594,0.30945730715117553,531096.18
2021->2022,OK,45,42,0.027889570777225495,0.03441770510363874,0.42000833239648977,0.4554397936507595,255479.2
2021->2022,OR,83,76,0.04662694024643997,0.04962009755749548,0.3575851076319448,0.33314338644811053,376028.32000000007
2021->2022,PA,93,89,0.02960748111440509,0.026798512006656016,0.3274852692710039,0.33061048576302177,863574.01
2021->2022,RI,46,44,0.03001971465981767,0.03145340100122371,0.35906443122412407,0.36814123872455723,141175.7
2021->2022,SC,39,39,0.0413413171536029,0.04131561735774191,0.351097120238227,0.351097120238227,269037.19999999995
2021->2022,SD,11,11,0.04466707081343083,0.04953556934071421,0.3695625813251748,0.3695625813251748,27135.43
2021->2022,TN,70,65,0.043581383326280886,0.0504168882160263,0.43791930397878703,0.43365603705298694,417801.58999999997
2021->2022,TX,509,480,0.033467112172929546,0.029303482494674196,0.3781518607052173,0.3763189601356939,5124440.99
2021->2022,UT,59,57,0.05378708587951,0.05788237489695964,0.45868966058101607,0.4488192403155113,214436.29
2021->2022,VT,24,22,0.016710496245309386,0.004029198489208517,0.23098021961562584,0.2492844823231412,19494.649999999994
2021->2022,VA,146,137,0.03155345148927035,0.03453447195450891,0.3665136459015588,0.36507308210629813,1181857.1800000002
2021->2022,WA,145,131,0.039388142711035495,0.043630491968370905,0.3275544893969102,0.31240468988446074,1110651.77
2021->2022,WV,20,17,0.05217347372242492,0.061396956476871864,0.28151474912531477,0.3441933974418082,36058.27
2021->2022,WI,39,37,0.03080100139121627,0.031868924791698644,0.2152630876395217,0.20115258610860268,281952.93000000005
2021->2022,WY,35,34,0.021921016399724418,0.02331931533048806,0.5515907756333981,0.5317656950393777,20713.44
2022->2023,AL,21,20,0.04222703088811691,0.037559241794976765,0.38519028970845864,0.4032467685822205,147756.78
2022->2023,AK,38,37,0.0031866730515283186,0.015326480416279565,0.46565165257315383,0.4744628356351135,38255.85
