country	model	peak1_day	peak1_mag	peak1_day_lo	peak1_day_hi	peak1_mag_lo	peak1_mag_hi	peak2_day	peak2_mag	peak2_day_lo	peak2_day_hi	peak2_mag_lo	peak2_mag_hi	data_peak1_day	data_peak1_mag	data_peak2_day	data_peak2_mag	area_pred	aicc_inc	r2adj_train	r0_med	r0_lo	r0_hi	aicc_inc_osi	osi_rms_train	x_rebound	reff_med	reff_lo	reff_hi
netherlands	sirx_s2	200	1.7448323357864972e-05	200.0	200.0	1.5406847770714972e-05	1.9196805963501447e-05	257	0.006491557681171053	217.0	263.0	0.00012184274438197658	0.02295762231306804	48	1.3933333334924728e-05	300	0.0001446955000040461	0.17733529758318778	-2327.377340437014	0.6336898658225346	1.7801102183575914	0.6422475421771846	2.025182690075715	-3366.7177245836774	0.5701502669779659	0.49996809202963066	1.7434844456001135	0.6422475421828507	2.013537026496862
norway	sir	36	4.068674564969365e-05	35.0	37.0	3.869640032575874e-05	4.2506509009404595e-05	226	0.008546711308476215	223.0	229.0	0.006257820012384008	0.02563446604278481	34	5.1133333308738716e-05	267	0.00012878133327774949	0.1355894499362398	-2361.5106376397694	0.8190134443876881	3.6565096634382304	0.08620663000778897	3.933191717715421						
norway	sirx	36	4.084147397162842e-05	35.0	37.0	3.8511799011248425e-05	4.342762159377094e-05	229	0.015927098858281818	223.0	233.0	0.005327040401599744	0.06466743749220592	34	5.1133333308738716e-05	267	0.00012878133327774949	0.26360264628915164	-2164.0090078911917	0.8158814334386439	2.852183190115474	0.057313399168130594	3.1691722553120294	-3067.4233482854816	0.5108056528396362	0.0900496662571168	2.8521831793429526	0.057313399165233404	3.169172255237275
norway	sirx_s2	41	0.0003078458605571884	41.0	200.0	0.0003081706197416045	0.00044945306596284347	217	0.002564759404404478	215.0	221.0	0.0026414581794010445	0.0030489011129726166	34	5.1133333308738716e-05	267	0.00012878133327774949	0.05742673586194821	-2643.378567349777	-74.2875247178442	1.620804324372079	0.9069030301193854	1.6754244818725428	-3493.077900578909	0.5258357160852262	2.3850870342687788e-11	1.6208043243292867	0.9069030301832349	1.6754244818954491
portugal	sir	200	6.0483580952977324e-05	200.0	200.0	5.374837977151221e-05	6.694431394771815e-05	277	0.002569868917658323	254.0	287.0	0.0005517918792379238	0.007870512543328502	41	8.086250004780954e-05	266	0.0006320503332987144	0.10826826140691495	-2475.406947387207	0.36141726506173955	1.5128377336460515	1.0671617568660572	1.8826181742399368						
portugal	sirx	34	5.547545599461779e-05	34.0	34.0	5.518850864518998e-05	5.573363685040577e-05	219	4.383476416133847e-05	217.0	219.0	4.147388312229568e-05	4.617514909330886e-05	41	8.086250004780954e-05	266	0.0006320503332987144	0.05448751058692292	-2657.2577865012427	0.5814746917850603	3.676738456665527	0.9822103074011086	3.678661148765502	-3603.4771711776148	0.46318027957055175	0.04634413643072266	1.4309399650020587	0.959980030339927	1.4314804246755213
portugal	sirx_s2	31	8.189341505720757e-05	31.0	31.0	8.113863915792034e-05	8.292912676542542e-05	281	0.00023055070705065028	280.0	282.0	0.00022734739632156514	0.00023741797824722126	41	8.086250004780954e-05	266	0.0006320503332987144	0.036393329659333555	-2723.1948261964776	0.7666039196651224	2.0702152037645885	1.8244574474991113	2.071105580014046	-3634.5884285066745	0.35180328266451333	7.109868249699502e-13	1.779123138058047	0.9558805587251152	1.7799865621523905
uk	sir	250	0.00015702255057642808	250.0	250.0	0.00015086117578317062	0.00016339687993223052	281	0.0008910606378149402	280.0	282.0	0.0008092247938224897	0.000970908762895517	250	0.0001706120000039478	336	0.0006016408333375192	0.04313503058915609	-2301.4152766668794	0.9244815006531172	1.591380543903726	1.2088087935672571	1.6194092735264987						
uk	sirx	250	0.0001337464112043875	250.0	250.0	0.0001307187706996067	0.00013645013592770188	317	0.0029908828427604255	317.0	318.0	0.002958571426857993	0.0030233905099114914	250	0.0001706120000039478	336	0.0006016408333375192	0.12041833290464424	-2024.1250650195443	0.9132023743436599	1.2959971802718884	1.0394236915398258	1.2970110601782514	-2837.1125953751916	0.3734259950011502	3.0883111623580817e-09	1.2124282038871854	0.9277088347680749	1.2133135708841893
uk	sirx_s2	250	0.00020321948835103475	250.0	250.0	0.0001981760746815773	0.00020675024869544392	304	0.024427361947368897	304.0	305.0	0.024397018092707636	0.024446138206924633	250	0.0001706120000039478	336	0.0006016408333375192	0.8072042071974284	-1563.2737558985318	0.833936113952902	2.1338426192002884	0.7200865590292695	2.135374332683724	-2150.9710475009533	0.6332338219370476	1.8710182182949418e-10	2.1338426170441167	0.7200865589899705	2.135374330531053
switzerland	sir	37	0.00011791539431520664	36.0	37.0	0.00011318733257626328	0.00012472271630489007	215	0.010565139353384639	213.0	217.52499999999998	0.008764070026909952	0.01698792959585505	30	0.00013189483330410039	253	0.0013523391666325807	0.1776486825167125	-2367.047314678804	0.8117373005486701	3.5442248081961454	0.008328912527414918	4.2233660288230075						
switzerland	sirx	38	0.00012761014993398803	37.0	38.0	0.00012347434471429407	0.00013140944806705186	235	0.0016643061510812779	232.0	237.0	0.0013951542315770293	0.002308997105526766	30	0.00013189483330410039	253	0.0013523391666325807	0.037872124186769704	-2857.2282763332887	0.8921997782937305	1.9887068935203438	1.0085498294221713	2.0168601851064136	-3755.5056334675387	0.36769915232279804	0.9999999703436285	1.9016641208159795	0.47351499522171436	1.928162600002222
switzerland	sirx_s2	30	0.00013431006779826018	30.0	30.0	0.00013335067812764566	0.00013575063855017947	261	0.00872511054898941	260.0	261.0	0.008700322762632618	0.008753521239478132	30	0.00013189483330410039	253	0.0013523391666325807	0.2826691729496974	-2278.177213166905	0.9257615269761335	1.949255469307704	1.4929289139043689	1.9497717925720186	-3135.759625907541	0.4592552088667214	4.701911206272946e-05	1.5990623215640738	0.9010648753992663	1.599451036513125
